filename,CNPJ
086-060-100222-ALU-05 - BANCO.pdf,
086-060-100222-ALU-05 - E-MAIL LOTE FORMATADO.pdf,
086-060-100222-ALU-06 - banco.pdf,
086-060-100222-URGE-01 - BANCO.pdf,
086-060-100222-URGE-01 - E-MAIL LOTE FORMATADO.pdf,
086-060-100222-URGE-14 - BANCO.pdf,
086-060-100222-URGE-14 - E-MAIL LOTE FORMATADO.pdf,
086-060-110222-ALU-01 - BANCO.pdf,
086-060-110222-ALU-02 - e-mail lote formatado.pdf,
086-060-110222-ALU-02 -BANCO.pdf,
086-060-110222-ALU-03 - BANCO.pdf,
086-060-110222-URGE-01 - BANCO.pdf,
086-060-140222-ALU-03 - BANCO.pdf,
086-060-140222-ALU-04 - banco.pdf,
086-060-140222-ALU-05 - BANCO.pdf,
086-060-140222-URGE-07 - BANCO.pdf,
086-060-150222-ALU-01 - BANCO.pdf,
086-060-150222-ALU-02 - BANCO.pdf,
086-060-150222-ALU-03 - banco.pdf,
086-060-150222-ALU-04 - banco.pdf,
086-060-150222-ALU-05 - BANCO.pdf,
086-060-150222-ALU-06 - BANCO.pdf,
086-060-150222-URGE-09 - BANCO.pdf,
086-060-160222-ALU-01 BANCO.pdf,
086-060-160222-ALU-01 EMAIL.pdf,
086-060-160222-ALU-02 BANCO.pdf,
086-060-160222-ALU-02 EMAIL.pdf,
086-060-160222-ALU-03 BANCO.pdf,
086-060-160222-ALU-03 EMAIL.pdf,
086-060-160222-ALU-04 banco.pdf,
086-060-160222-ALU-04 email.pdf,
086-060-170222-ALU-01 banco.pdf,
086-060-170222-ALU-01 email.pdf,
086-060-170222-ALU-02 banco.pdf,
086-060-170222-ALU-02 email.pdf,
086-060-170222-ALU-03 banco.pdf,
086-060-170222-ALU-03 email.pdf,
086-060-170222-ALU-04 banco.pdf,
086-060-170222-ALU-04 email.pdf,
086-060-180222-ALU-01 email.pdf,
086-060-180222-ALU-01 lote formatado.pdf,
086-060-180222-ALU-02 email.pdf,
086-060-180222-ALU-02 lote formatado.pdf,
086-060-180222-ALU-03 email.pdf,
086-060-180222-ALU-03 lote formatado.pdf,
086-060-180222-URGE-02 email.pdf,
086-060-180222-URGE-02 lote formatado.pdf,
086-060-210222-ALU-01 email.pdf,
086-060-210222-ALU-01 lote formatado.pdf,
086-060-210222-ALU-02 email.pdf,
086-060-210222-ALU-02 lote.pdf,
086-060-210222-ALU-03 email.pdf,
086-060-210222-ALU-03 lote.pdf,
086-060-210222-ALU-04 email.pdf,
086-060-210222-ALU-04 lote.pdf,
086-060-210222-URGE-13 email.pdf,
086-060-210222-URGE-13 lote.pdf,
086-060-220222-ALU-01 email.pdf,
086-060-220222-ALU-01 lote.pdf,
086-060-230222-ALU-01 email.pdf,
086-060-230222-ALU-04 email.pdf,
086-060-230222-ALU-04 lote.pdf,
086-060-230222-ALU-05 email.pdf,
086-060-230222-ALU-05 lote.pdf,
086-060-230222-REGU-01 email.pdf,
086-060-230222-REGU-01 lote.pdf,
086-060-230222-REGU-03 email.pdf,
086-060-230222-REGU-03 lote.pdf,
086-060-240222-ALU-01 email.pdf,
086-060-240222-ALU-01 lote.pdf,
086-060-240222-ALU-02 email.pdf,
086-060-240222-ALU-02 lote.pdf,
086-060-250222-ALU-01 EMAIL.pdf,
086-060-250222-ALU-01 lote.pdf,
086-060-250222-ALU-03 email.pdf,
086-060-250222-ALU-03 lote.pdf,
086-060-250222-ALU-04 email.pdf,
086-060-250222-ALU-04 lote.pdf,
086-060-250222-ALU-05 email.pdf,
086-060-250222-ALU-05 lote.pdf,
086-060-250222-ALU-06 email.pdf,
086-060-250222-ALU-06 lote.pdf,
086-060-250222-ALU-07 email.pdf,
086-060-250222-ALU-07 lote.pdf,
086-060-250222-URGE-04 email.pdf,
086-060-250222-URGE-04 lote.pdf,
086-060-250222-URGE-18 email.pdf,
086-060-250222-URGE-18 lote.pdf,
200000077 - Boleto - 10.02.2022.pdf,
200000077 - Demonstrativo - 10.02.2022.pdf,45.543.915/0001-81
200000153 - Boleto - 10.02.2022.pdf,45.543.915/0001-81
200000153 DEMONSTRATIV1.01.2022_20220210142654.212_X.PDF.pdf,45.543.915/0001-81
2021-12-29T15_13_00+00_00BOLETO IPTU 2022 - BOS - 3160125712.pdf,
2022 - FLP CK.pdf,20.869.012/0001-64
2022-01-28T21_28_14+00_00Boletos (7).pdf,00.776.574/0001-56
2022-01-28T21_28_14+00_00Boletos (8).pdf,00.776.574/0001-56
2022-01-31T21_35_20+00_00lote24_a vista.pdf,
2022-01-31T21_35_20+00_00lote25_a vista.pdf,
2022-01-31T21_35_20+00_00lote26_ a vista.pdf,
2022-01-31T21_35_20+00_00lote27_ a vista.pdf,
2022-02-08T18_28_53+00_00ALC10590 ALTHS - MC DONALDS 2.pdf,"72.908.353/0001-03,18.645.825/0001-29"
2022-02-08T18_28_53+00_00ALC10590 ALTHS - MC DONALDS 3.pdf,
2022-02-08T18_28_53+00_00ALC10590 ALTHS - MC DONALDS 4.pdf,"13.553.684/0001-09,18.645.825/0001-29"
2022-02-08T18_28_53+00_00ALC10590 TAG - MC DONALDS 2.pdf,"72.908.353/0001-03,33.295.949/0001-15"
2022-02-08T18_28_53+00_00ALC10590 TAG - MC DONALDS 3.pdf,33.295.949/0001-15
2022-02-08T18_28_53+00_00ALC10590 TAG - MC DONALDS 4.pdf,"13.553.684/0001-09,33.295.949/0001-15"
2022-02-14T13_53_26+00_00Mc_1373.pdf,47.508.411/0001-56
2022-02-14T14_18_11+00_00MC_01.pdf,47.508.411/0001-56
2022-02-14T14_46_26+00_00Mc_1373.pdf,47.508.411/0001-56
2022-02-14T16_51_03+00_00Mc_1373.pdf,47.508.411/0001-56
210000197 - Boleto - 15.02.2022.pdf,
210000197.pdf,45.543.915/0001-81
210000274 - Boleto - 10.02.2022.pdf,45.543.915/0001-81
210000274 - Demonstrativo - 10.02.2022.pdf,45.543.915/0001-81
210000704 - Boleto - 10.02.2022.pdf,45.543.915/0001-81
210000704 DEMONSTRATIVO_ARCCIO31.01.2022_20220210142454.839_X.PDF.pdf,45.543.915/0001-81
210000711 - Boleto - 10.02.2022.pdf,
210000711 DEMONSTRATIERCIO31.01.2022_20220210142333.075_X.PDF.pdf,45.543.915/0001-81
210000712 - Boleto - 10.02.2022.pdf,
210000712 - Demonstrativo - 10.02.2022.pdf,45.543.915/0001-81
210001355 - Boleto - 10.02.2022.pdf,
210001355 DEMONSIO31.01.2022_20220210142631.616_X.PDF.pdf,45.543.915/0001-81
210001356 - Boleto - 10.02.2022.pdf,
210001356 DEMONSTRA31.01.2022_20220210142430.654_X.PDF.pdf,45.543.915/0001-81
210001364 - Boleto - 10.02.2022.pdf,
210001364 DEMONS31.01.2022_20220210142319.641_X.PDF.pdf,45.543.915/0001-81
210001365 - Boleto - 10.02.2022.pdf,
210001365 - Demonstrativo - 10.02.2022.pdf,45.543.915/0001-81
210001366 - Boleto - 10.02.2022.pdf,
210001366 .pdf,45.543.915/0001-81
210001723 - Boleto - 10.02.2022.pdf,
210001723.pdf,45.543.915/0001-81
"28 02IPTU Z banco ok lançar 2 primeiros boletos, restante desmembrar.pdf","46.634.499/0001-90,02.885.847/0001-64,02.865.847/0001-64"
AAB - B05080 - BANCO OK.pdf,93.209.765/0001-17
AAB - B05080.pdf,
ABA - B05310 (2).pdf,11.948.736/0001-02
ABA - B05310 - ELETRONICO.pdf,62.082.961/0001-40
ACM - B03610.pdf,17.008.888/0001-01
ADM - B40870 - .pdf,
AFL - B01140.pdf,
AFO - 2402.pdf,14.551.970/0001-90
AFT - 2402.pdf,14.551.970/0001-90
AFZ - B09700  ENVIAR FRANQ.pdf,27.059.565/0001-09
AFZ - B09700 (2) FRANQ.pdf,27.059.565/0001-09
AFZ - B09700 (3) FRANQ.pdf,27.059.565/0001-09
AFZ - B09700 - FRANQ.pdf,27.059.565/0001-09
AFZ - B09700 ENVIAR FRANQ (2).pdf,27.059.565/0001-09
AFZ - B09700 ENVIAR FRANQ (3).pdf,27.059.460/0001-41
AFZ - B09700 ENVIAR FRANQ.pdf,27.059.565/0001-09
AFZ - B09700 FRANQ ALUGUEL (2).pdf,27.059.565/0001-09
AFZ - B09700 FRANQ ALUGUEL.pdf,27.059.565/0001-09
AFZ - B09700.pdf,27.059.565/0001-09
AGS - B06120 (2).pdf,01.850.114/0001-93
AGS - B06120.pdf,01.850.114/0001-93
AGS A-09_MCDONALDS_ALUGUEL.PERCENTUAL_21022022.pdf,01.850.114/0001-93
AIA -  B0562.pdf,71.322.150/0042-38
AIA - B0562.pdf,71.322.150/0041-57
AIA - B05620.pdf,07.889.007/0001-55
AID - B0197 - AMM - banco ok (2).pdf,
AID - B0197 - AMM - banco ok.pdf,
AID - B0197 QUIOSQUE - AMM banco ok.pdf,
AID - B0197.pdf,
AJU - B40120 (2).pdf,17.333.406/0001-99
AJU - B40120 (3).pdf,17.333.406/0001-99
AJU - B40120 (4).pdf,17.333.406/0001-99
AJU - B40120.pdf,17.333.406/0001-99
ALB - B46400 (2).pdf,19.394.735/0001-75
ALB - B46400.pdf,19.394.735/0001-75
ALE - B05400 (2).pdf,"00.367.135/0001-90,92.691.336/0001-66"
ALM - B08980 FRANQ ALUGUEL.pdf,02.560.001/0001-16
AM2 - B7005 FRAN PAG V2.pdf,
AMA - B07120 FRANQ.pdf,46.951.943/0001-09
AMK - B0601 FRANQ.pdf,"00.250.440/0001-05,18.191.228/0001-71"
"AMK - B06010 2924,96 E 3,00.pdf","0,.,2,5,4,/,1,-,,,8,9,7"
"AMK - B06010 3114,25 e 657,64.pdf","0,,,.,2,5,4,/,1,-,8,9,7"
AMK - B06010 DESMEMBRAR.pdf,"0,,,.,2,5,4,/,1,-,8,9,7"
AMK - B06010 FRANQ PAG V2 - BANCO OK.pdf,03.043.201/0001-64
AMK - B06010 FRANQ PAG V2.pdf,03.043.201/0001-64
AMS - B08580 ENVIAR FRANQ 2.pdf,20.748.818/0001-02
AMS - B08580 ENVIAR FRANQ.pdf,20.748.818/0001-02
AMS - B08580 FRAN PAG V2.pdf,20.748.818/0001-02
AMS - B08580 FRANQ (PAGAMOS DESPESAS).pdf,20.748.818/0001-02
ANA - B40390 (2) ENVIAR FRANQ.pdf,30.838.194/0001-60
ANA - B40390 (2).pdf,32.913.189/0001-08
ANA - B40390 (3).pdf,14.097.230/0001-25
ANA - B40390 - FRANQUEADO.pdf,30.838.194/0001-60
ANA - B40390 ENVIAR FRANQ (2).pdf,32.913.189/0001-08
ANA - B40390 ENVIAR FRANQ.pdf,30.838.194/0001-60
ANA - B40390 FRANQ ALUGUEL (2).pdf,14.097.230/0001-25
"ANA - B40390 FRANQ ALUGUEL - LANÇAR -0,06.pdf",14.097.230/0001-25
ANA - B40390 FRANQ ALUGUEL.pdf,14.097.230/0001-25
ANA - B40390.pdf,14.097.230/0001-25
AND - B02000 - PAGAR - N DISP PARA PAGTO.pdf,02.444.426/0001-60
AND - B02000 - PAGAR - N DISP PARA PAGTO2.pdf,02.444.426/0001-60
AND - B02000 2.pdf,"22 698.684/0001-80,22.698.684/0001-80"
AND - B02000 3.pdf,"22 698.684/0001-80,22.698.684/0001-80"
AND - B02000.pdf,02.444.426/0001-60
ANI - B06400 - LANÇAR.pdf,17.368.996/0001-95
ANI - B06400.pdf,17.368.996/0001-95
ANP - B05670.pdf,
APA - B07230 FRANQ ALUGUEL (2)-1.pdf,02.825.033/0001-04
APA - B07230 FRANQ ALUGUEL (2)-2.pdf,"02.825.033/0001-04,42,591.651/0001-43"
APA - B07230 FRANQ ALUGUEL-1.pdf,"02.825.033/0001-04,08.904.571/0001-62"
APA - B07230 FRANQ ALUGUEL-2.pdf,"02.825.033/0001-04,08.904.571/0001-62"
APD - B04250.pdf,"00.093.627/0001-34,04.006.639/0001-35"
"APO - B05930 LANÇAR -0,03.pdf","09.099,926/0001-50,09.099.926/0001-50"
ARA - B03310 (2) - BOLETO SEM DESCRIÇÃO DE PGTO.pdf,"02.663.209/0001-60,54.393.046/0061-88"
ARA - B03310 (3) -  BOLETO SEM DESCRIÇÃO DE PGTO.pdf,"02.663.209/0001-60,54.393.046/0061-88"
ARA - B03310 -  BOLETO SEM DESCRIÇÃO DE PGTO.pdf,"02.663.209/0001-60,54.393.046/0061-88"
"ARA - B03310 33318,66 5,88 1574,68 12572,78 18254,40 CNPJ SENHA (2).pdf","0,2,.,6,3,9,/,1,-,,,5,4,8"
"ARA - B03310 8227,42 -84,15 1132,00 cnpj senha.pdf","0,,,2,.,6,3,9,/,1,-,5,4,8"
"ARA - B03310 9120,48 -20,44 CNPJ SENHA (3).pdf","0,,,2,.,6,3,9,/,1,-,5,4,8"
ARA - B03310.pdf,02.296.771/0001-01
ARI - B00610 -  (1).pdf,
ARI - B00610 -  (2).pdf,
ARI - B00610 - 10.02.2022 (1).pdf,
ARI - B00610 - 10.02.2022 (2).pdf,45.543.915/0001-81
ARI - B00610 - 15.02.2022 (1).pdf,
ARK - B0101 (2) - ELETRONICO.pdf,60.852.605/0001-32
ARK - B0101 - ELETRONICO.pdf,60.852.605/0001-32
ARK - B0101 PROGRAMAR ELETRONICO.pdf,60.852.605/0001-32
ASB - B01710 (2) - PROGRAMAR ELETRONICO.pdf,00.776.574/0001-56
ASB - B01710- ELETRONICO STFSANN005301-L.pdf,
ASB - B01710.pdf,00.776.574/0001-56
ASH - B0194 1.pdf,
ASH - B0194.pdf,03.841.348/0001-08
ASH - B01940 2 - BANCO OK.pdf,
ASH - B01940 2.pdf,
ASH - B01940 3 BANCO OK.pdf,
ASH - B01940 3.pdf,
ASH - B01940 4 BANCO OK.pdf,
ASH - B01940 4.pdf,
ASH - B01940 5 BANCO OK.pdf,
ASH - B01940 5.pdf,
ASH - B01940 6.pdf,
ASH - B01940 7 BANCO OK.pdf,
ASH - B01940 7.pdf,
ASH - B01940 8 BANCO OK.pdf,
ASH - B01940 8.pdf,
ASH - B01940 9 BANCO OK.pdf,
ASH - B01940 9.pdf,
ASH - B01940 BANCO OK.pdf,
ASH - B01940.pdf,
ASP - B08970 - LANÇAR.pdf,17.234.721/0001-69
ASP - B08970 FRANQ ALUGUEL.pdf,20.164.511/0001-56
ASP - B08970 FRANQ.pdf,21.764.677/0001-76
ASV - B5017.pdf,06.057.223/0001-71
ASV - B50170 ENVIAR FRANQ.pdf,06.057.223/0001-71
AUG - B00180.pdf,
AVD - B20540 (2).pdf,19.657.432/0001-06
AVD - B20540 PAGO ELETRONICO.pdf,19.657.432/0001-06
AVD - B20540.pdf,19.657.432/0001-06
AVO - B0081 2022-01-Rel Desp- MC Donalds- Itaim-166.pdf,"04.135.132/0001-81,52.130.481/0001-53"
AVO - B0081 2022-01-Rel Desp- MC Donalds- SMG-1185.pdf,"04.135.132/0001-81,52.130.481/0001-53"
AVO - B0081.pdf,"04.135.132/0001-81,52.130.481/0001-53"
AVR - B91570 - BANCO OK.pdf,93.209.765/0001-17
AVR - B91570.pdf,93.209.765/0001-17
AVT - 2502 (2) BANCO OK.pdf,00.776.574/0001-56
AVT - 2502 BANCO OK.pdf,00.776.574/0001-56
AXV - B02600 (2).pdf,78.434.123/0001-28
AXV - B02600 (3).pdf,78.434.123/0001-28
AXV - B02600.pdf,81.112.807/0001-18
"B054704-  6.046,40.pdf",
BA2 - B0860.pdf,05.878.397/0001-32
BA2 - B08600 - FRANQ2.pdf,05.878.397/0001-32
BA2 - B08600 ENVIAR FRANQ.pdf,05.878.397/0001-32
BA2 - B08600 FRANQ ALUGUEL.pdf,05.878.397/0001-32
BA2 - B08600.pdf,05.878.397/0001-32
BA3 - B60040 (2).pdf,05.878.397/0001-32
BA3 - B60040 (3).pdf,05.878.397/0001-32
BA3 - B60040 ENVIAR FRANQ.pdf,05.878.397/0001-32
BA3 - B60040 FRAN 3.pdf,05.878.397/0001-32
BA3 - B60040 FRANQ ALUGUEL - BANCO OK.pdf,05.878.397/0001-32
BA3 - B60040 FRANQ DESMEMBRAR.pdf,05.878.397/0001-32
BA3 - B60040.pdf,05.878.397/0001-32
BAG - B08260 - FRANQ.pdf,05.878.397/0001-32
BAG - B08260 ENVIAR FRANQ.pdf,05.878.397/0001-32
BAG - B08260 FRANQ DEMEMBRAR.pdf,05.878.397/0001-32
BAG - B08260.pdf,05.878.397/0001-32
BAL - 05.02.pdf,"09.477.652/0016-72,42,591.651/0001-43"
BAL - B0276.pdf,09.477.652/0016-72
BAL - B02760 FRANQ 2 INF BOLETO N ENCONTRADA.pdf,09.477.652/0039-69
BAM - B06640 FRANQ ALUGUEL (2).pdf,31.055.224/0001-24
BAM - B06640 FRANQ ALUGUEL.pdf,31.055.224/0001-24
BANCO  0302.pdf,
BANCO 0102.pdf,
banco 0202.pdf,
banco 0402.pdf,
banco 0702.pdf,
BANCO 0802 IMPOSTO.pdf,
BANCO 0802.pdf,
BANCO 0902.pdf,
banco 1002-STFSANN005301-L.pdf,
banco 1002.pdf,
BANCO 1102.pdf,
BANCO 1402.pdf,
BANCO 15.02.pdf,
banco 1502.pdf,
BANCO 1602.pdf,
BANCO 1702.pdf,
banco 1802.pdf,
BANCO 2202.pdf,
banco 2302.pdf,
banco 2402.pdf,
banco 2502.pdf,
banco imposto 0902.pdf,
banco imposto 2502.pdf,
Banco Itau.pdf,
BAS - B09260 ELETRONICO FRANQ ALUGUEL.pdf,"10.259.774/0001-95,51.524.676/0001-15"
BAS - B09260 ELETRONICO.pdf,"10.259.774/0001-95,51.524.676/0001-15"
BAS - B09260 FRANQ ALUGUEL.pdf,"02.520.148/0001-82,51.524.676/0001-15"
BAT - B9116 PROGRAMAR ENCARGOS.pdf,28.680.962/0001-58
BAT - B9116.pdf,01.472.861/0001-35
BAT - B91160 ENVIAR FRANQ.pdf,01.472.861/0001-35
BAT - B91160 FRANQ (SEM DESCRIÇÃO DE PGTO).pdf,06.022.940/0001-68
BAT - B91160 FRANQ (VERIFICAR ELETRONICO - TEM IPTU PARA DESMEMBRAR) (2).pdf,28.680.962/0001-58
BAT - B91160 FRANQ (VERIFICAR ELETRONICO - TEM IPTU PARA DESMEMBRAR) (3).pdf,28.680.962/0001-58
BAT - B91160 FRANQ (VERIFICAR ELETRONICO - TEM IPTU PARA DESMEMBRAR).pdf,28.680.962/0001-58
BAT - B91160 FRANQ.pdf,11.948.736/0001-02
BAT - B91160.pdf,11.948.736/0001-02
BAY - B0813.pdf,"04.321.130/0001-87,18.954.481/0001-30"
BAY - B08130 ENVIAR FRANCO.pdf,"20.739,535/0001-96,20.739.535/0001-96"
BAY - B08130 FRANCO ALUGUEL.pdf,"20.739,535/0001-96,20.739.535/0001-96"
BBH - B04140 - SOMA N BATE.pdf,29.303.077/0001-12
BBH - B04140.pdf,29.303.077/0001-12
BCA - B09600 ENVIAR FRANQ.pdf,26.401.280/0001-33
BCA - B09600 FRANQ ALUGUEL.pdf,26.401.280/0001-33
BCG - B06480 (2).pdf,37.777.719/0001-43
BCG - B06480.pdf,37.777.719/0001-43
BCP - B40070 FRANQ ALUGUEL (2).pdf,19.340.045/0001-33
BCP - B40070 FRANQ ALUGUEL (3).pdf,19.340.045/0001-33
BCP - B40070 FRANQ ALUGUEL.pdf,47.508.411/0001-56
BEC - B05540 ENVIAR FRANQ.pdf,02.287.538/0001-54
BEC - B05540 ENVIAR FRANQUEADO.pdf,02.287.538/0001-54
BEC - B05540 FRANCO ALUGUEL.pdf,02.287.538/0001-54
BEC - B05540 FRANQ ALUGUEL.pdf,02.287.538/0001-54
BFC - B03070.pdf,14.551.970/0001-90
"BH2 - B0356 - 77.959 ,11  BANCO OK.pdf",14.551.970/0001-90
BH2 - B03560   2.pdf,18.083.442/0001-04
BH2 - B03560 (2).pdf,18.083.442/0001-04
BH2 - B03560.pdf,05.294.268/0001-05
BIG - B08090 ENVIAR FRANQ (2).pdf,00.193.039/0001-72
BIG - B08090 ENVIAR FRANQ (3).pdf,00.193.039/0001-72
BIG - B08090 ENVIAR FRANQ (4).pdf,00.193.039/0001-72
BIG - B08090 ENVIAR FRANQ.pdf,00.193.039/0001-72
BIG - B08090 FRANQ ALUGUEL (2).pdf,00.193.039/0001-72
BIG - B08090 FRANQ ALUGUEL.pdf,00.193.039/0001-72
BLA - B01450 - VERIF ELETRONICO.pdf,52.488.962/0001-35
BLA - B01450.pdf,52.488.962/0001-35
BLI - B09020 FRANQ ALUGUEL.pdf,83.368.894/0001-02
BLO - B2001 FRAN PAG V2.pdf,28.240.693/0001-09
BLO - B2001 FRANQ (PAGAR V2) (3).pdf,28.240.693/0001-09
BLO - B2001 FRANQ (PAGAR V2).pdf,09.191.802/0001-09
BLO - B2001 FRANQ ALUGUEL.pdf,09.191.802/0001-09
BLO - B2001 FRANQ PAG V2 (2).pdf,28.240.693/0001-09
BLO - B2001 FRANQ PAG V2.pdf,21.764.677/0001-76
BMA - B11820.pdf,53.719.423/0001-22
BMG - B02007 ENVIAR FRANQ.pdf,"5,3,.,7,1,9,4,2,/,0,-"
BMG B0200 FRANQ - ELETRONICO.pdf,"5,,,3,.,7,1,9,4,2,/,0,-"
"BMR - B10250 - FALTA VALOR, FAVOR PINTAR.pdf",
BND - B2005.pdf,13.990.172/0001-00
BND - B20050 (2).pdf,13.990.172/0001-00
BND - B20050.pdf,13.990.172/0001-00
BNM - B41170 (4) - OK.pdf,
BNM - B41170 .pdf,
BNM - B41170.pdf,
"BNS - B02560  3656,20 E -678,87.pdf",95.827.556/0001-62
BNS - B02560 (2).pdf,"9,5,.,8,2,7,6,/,0,1,-"
BOD - B0917 - BANCO OK.pdf,
BOD - B0917 - erro banco.pdf,
BOD - B0917.pdf,
BOD - B09170 FRAN ALUGUEL.pdf,24.901.418/0001-38
BOD - JA BAIXADO.pdf,"2,4,.,9,0,1,8,/,-,3"
BOLETO IPTU 2021 - MUN - 125.129.0040-0 L.pdf,
BOLETO IPTU 2021 - MUN - 125.129.0041-9.pdf,
BOLETO IPTU 2021 - MUN - 125.129.0050-8.pdf,
BOLETO IPTU 2021 - MUN - 125.129.0053-2.pdf,
BOLETO IPTU 2021 - MUN - 125.129.0138-5.pdf,
BOLETO IPTU 2021 - MUN - 125.129.0164-4.pdf,
BOLETO IPTU 2022 - AAH.pdf,
BOLETO IPTU 2022 - ABA.pdf,
BOLETO IPTU 2022 - AE2.pdf,
BOLETO IPTU 2022 - AFD.pdf,
BOLETO IPTU 2022 - AFL - PARCELA 1 - MARIA LUCIA.pdf,
BOLETO IPTU 2022 - AFM.pdf,
BOLETO IPTU 2022 - AGT.pdf,
BOLETO IPTU 2022 - AIS.pdf,
BOLETO IPTU 2022 - AJB.pdf,
BOLETO IPTU 2022 - AJD.pdf,
BOLETO IPTU 2022 - ALS.pdf,
BOLETO IPTU 2022 - AMC.pdf,
BOLETO IPTU 2022 - AMO.pdf,
BOLETO IPTU 2022 - ANR.pdf,
BOLETO IPTU 2022 - ANZ.pdf,
BOLETO IPTU 2022 - APB.pdf,
BOLETO IPTU 2022 - ARP.pdf,
BOLETO IPTU 2022 - AUG.pdf,
BOLETO IPTU 2022 - BAR - 006.016.0813-5.pdf,
BOLETO IPTU 2022 - BAR - 006.016.0814-3.pdf,
BOLETO IPTU 2022 - BDT.pdf,
BOLETO IPTU 2022 - BGT.pdf,
BOLETO IPTU 2022 - BIC - 08180986.pdf,
BOLETO IPTU 2022 - BIC - 31639198.pdf,
BOLETO IPTU 2022 - BLE.pdf,
BOLETO IPTU 2022 - BOS - 3160125720 ERRO BAN.pdf,
BOLETO IPTU 2022 - BRA.pdf,
BOLETO IPTU 2022 - CAD.pdf,
BOLETO IPTU 2022 - CAK.pdf,"82.892.274/0001-05,10.617.328/0001-05"
BOLETO IPTU 2022 - CAR.pdf,
BOLETO IPTU 2022 - CAT.pdf,
BOLETO IPTU 2022 - CBR.pdf,
BOLETO IPTU 2022 - CEL.pdf,
BOLETO IPTU 2022 - CHA - BANCO OK.pdf,
BOLETO IPTU 2022 - CJD.pdf,
BOLETO IPTU 2022 - CRD.pdf,
BOLETO IPTU 2022 - CUR.pdf,
BOLETO IPTU 2022 - DCP.pdf,
BOLETO IPTU 2022 - DDD.pdf,24.093.385/0001-47
BOLETO IPTU 2022 - DOM.pdf,
BOLETO IPTU 2022 - DRG PROGRAMAR MANUAL.pdf,88.566.872/0001-62
BOLETO IPTU 2022 - DRT.pdf,
BOLETO IPTU 2022 - FAL.pdf,
BOLETO IPTU 2022 - FAO.pdf,
BOLETO IPTU 2022 - FLI.pdf,
BOLETO IPTU 2022 - FRE.pdf,
BOLETO IPTU 2022 - HGO CK.pdf,
BOLETO IPTU 2022 - HGO.pdf,
BOLETO IPTU 2022 - HSC.pdf,
BOLETO IPTU 2022 - IBI.pdf,
BOLETO IPTU 2022 - IDR.pdf,
BOLETO IPTU 2022 - IPI.pdf,
BOLETO IPTU 2022 - JAF.pdf,
BOLETO IPTU 2022 - LET.pdf,
BOLETO IPTU 2022 - LPA.pdf,
BOLETO IPTU 2022 - MAX.pdf,
BOLETO IPTU 2022 - MBT.pdf,
BOLETO IPTU 2022 - MCA - REJEIÇÃO.pdf,"29.131.075/0001-93,14.970.654/0001-52"
